AWB-No,FOB-Value-in-INR,Goods-Description,Non-GST-Invoice-No,Qty,Total-Value,Unit-Value
3292697236,6835.75,EuropeanLinenWaffleDuvetCover SetFullQueenShell,-2762246-136744,1.0,83.1683.16,83.1683.16
1048189015,6835.75,EuropeanLinenWaffleDuvetCover SetFullQueenTerracotta,-2775735-138220,1.0,83.1683.16,83.1683.16
8338653116,5746.6,EuropeanLinenWaffleDuvetCover FullQueenShell,-2776616-138267,1.0,69.9169.91,69.9169.91
8150810043,5746.6,EuropeanLinenWaffleDuvetCover FullQueenWhite,-2778022-138355,1.0,69.9169.91,69.9169.91
7079897123,5746.6,EuropeanLinenWaffleDuvetCover FullQueenWhite,-2780943-138755,1.0,69.9169.91,69.9169.91
5952839281,6835.75,EuropeanLinenWaffleDuvetCover SetFullQueenShell,-2784568-138892,1.0,83.1683.16,83.1683.16
5496830091,8667.17,EuropeanLinenWaffleDuvetCover SetKingCalKingWhite,-2785808-138977,1.0,105.44105.44,105.44105.44
6850753302,8667.17,EuropeanLinenWaffleDuvetCover SetKingCalKingWhite,-2791868-139287,1.0,105.44105.44,105.44105.44
7393127722,7282.92,EuropeanLinenWaffleDuvetCover KingCalKingWhite,-2793660-139364,1.0,88.6088.60,88.6088.60
7393127722,7282.92,EuropeanLinenWaffleDuvetCover KingCalKingWhite,-2793660-139364,1.0,88.6088.60,88.6088.60
5731920725,7282.92,EuropeanLinenWaffleDuvetCover KingCalKingShell,-2795221-139605,1.0,88.6088.60,88.6088.60
6501476251,5746.6,EuropeanLinenWaffleDuvetCover FullQueenTerracotta,-2763947-137110,1.0,69.9169.91,69.9169.91
2548360102,6835.75,EuropeanLinenWaffleDuvetCover SetFullQueenTerracotta,-2798484-139722,1.0,83.1683.16,83.1683.16
5731982966,1088.33,EuropeanLinenWaffleShamSetSta ndardShell,-2799496-139772,1.0,13.2413.24,13.2413.24
1794560740,8667.17,EuropeanLinenWaffleDuvetCover SetKingCalKingTerracotta,-2799885-139801,1.0,105.44105.44,105.44105.44
